Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,3,33,4,Some Random Commen with Id 0
1,0,3,191,7,Some Random Commen with Id 1
2,0,3,157,5,Some Random Commen with Id 2
3,0,3,16,8,Some Random Commen with Id 3
4,0,3,90,4,Some Random Commen with Id 4
5,0,3,110,4,Some Random Commen with Id 5
6,0,3,9,1,Some Random Commen with Id 6
7,0,3,148,2,Some Random Commen with Id 7
8,0,3,86,9,Some Random Commen with Id 8
9,1,4,74,7,Some Random Commen with Id 9
10,3,7,87,2,Some Random Commen with Id 10
11,3,7,197,0,Some Random Commen with Id 11
12,3,7,116,3,Some Random Commen with Id 12
13,4,2,83,7,Some Random Commen with Id 13
14,4,2,21,6,Some Random Commen with Id 14
15,4,2,77,9,Some Random Commen with Id 15
16,4,2,115,8,Some Random Commen with Id 16
17,4,2,139,7,Some Random Commen with Id 17
18,4,2,83,4,Some Random Commen with Id 18
19,4,2,160,2,Some Random Commen with Id 19
20,5,2,44,0,Some Random Commen with Id 20
21,5,2,126,9,Some Random Commen with Id 21
22,5,2,164,1,Some Random Commen with Id 22
23,5,2,5,1,Some Random Commen with Id 23
24,6,1,74,3,Some Random Commen with Id 24
25,6,1,12,7,Some Random Commen with Id 25
26,6,1,189,2,Some Random Commen with Id 26
27,6,1,55,1,Some Random Commen with Id 27
28,6,1,197,1,Some Random Commen with Id 28
29,6,1,34,6,Some Random Commen with Id 29
30,6,1,47,4,Some Random Commen with Id 30
31,6,1,152,1,Some Random Commen with Id 31
32,6,1,189,8,Some Random Commen with Id 32
33,7,1,45,2,Some Random Commen with Id 33
34,7,1,105,1,Some Random Commen with Id 34
35,7,1,43,9,Some Random Commen with Id 35
36,7,1,163,5,Some Random Commen with Id 36
37,7,1,193,7,Some Random Commen with Id 37
38,7,1,10,7,Some Random Commen with Id 38
39,7,1,146,9,Some Random Commen with Id 39
40,7,1,39,8,Some Random Commen with Id 40
41,7,1,158,5,Some Random Commen with Id 41
42,8,2,71,2,Some Random Commen with Id 42
43,8,2,148,8,Some Random Commen with Id 43
44,8,2,51,0,Some Random Commen with Id 44
45,9,0,170,4,Some Random Commen with Id 45
46,9,0,23,4,Some Random Commen with Id 46
47,9,0,119,6,Some Random Commen with Id 47
48,9,0,132,8,Some Random Commen with Id 48
49,10,0,120,8,Some Random Commen with Id 49
50,10,0,150,9,Some Random Commen with Id 50
51,10,0,68,2,Some Random Commen with Id 51
52,10,0,23,9,Some Random Commen with Id 52
53,10,0,185,5,Some Random Commen with Id 53
54,10,0,170,2,Some Random Commen with Id 54
55,10,0,173,3,Some Random Commen with Id 55
56,11,3,157,4,Some Random Commen with Id 56
57,12,0,52,6,Some Random Commen with Id 57
58,12,0,120,3,Some Random Commen with Id 58
59,12,0,18,8,Some Random Commen with Id 59
60,12,0,190,9,Some Random Commen with Id 60
61,12,0,160,8,Some Random Commen with Id 61
62,13,6,111,9,Some Random Commen with Id 62
